City_ID,City,Country,Date,Lat,Lng,Cloudiness,Humidity,Max Temperature,Wind Speed
0,jacareacanga,BR,1528902000,-6.22,-57.76,0,62,89.6,6.93
1,kaitangata,NZ,1528905304,-46.28,169.85,100,94,42.61,5.64
2,goulburn,AU,1528905078,-34.75,149.72,20,91,44.32,10.11
3,lata,IN,1528905305,30.78,78.62,76,89,59.89,0.94
4,chokurdakh,RU,1528905306,70.62,147.9,0,88,32.17,2.95
5,martyush,RU,1528905306,56.4,61.89,92,94,55.03,9.33
6,hobart,AU,1528902000,-42.88,147.33,20,87,44.6,8.05
7,broken hill,AU,1528905311,-31.97,141.45,0,88,44.5,7.31
8,harnosand,SE,1528903200,62.63,17.94,0,44,60.8,13.87
9,tuatapere,NZ,1528905312,-46.13,167.69,0,100,38.92,3.4
10,puerto ayora,EC,1528902000,-0.74,-90.35,90,69,77,13.87
11,havre-saint-pierre,CA,1528902000,50.23,-63.6,75,58,53.6,19.46
12,punta arenas,CL,1528902000,-53.16,-70.91,0,100,35.6,9.17
13,tasiilaq,GL,1528901400,65.61,-37.64,75,60,39.2,2.24
14,chapais,CA,1528902000,49.78,-74.86,40,38,59,10.29
15,avarua,CK,1528902000,-21.21,-159.78,40,56,73.4,10.29
16,hofn,IS,1528902000,64.25,-15.21,75,87,51.8,8.05
17,yukamenskoye,RU,1528905315,57.89,52.24,92,98,56.65,10.22
18,khandbari,NP,1528905315,27.38,87.21,80,67,44.59,1.39
19,bethel,US,1528901580,60.79,-161.76,1,93,44.6,8.05
20,ushuaia,AR,1528902000,-54.81,-68.31,75,64,41,3.36
21,east london,ZA,1528902000,-33.02,27.91,0,37,69.8,5.82
22,bluff,AU,1528905321,-23.58,149.07,76,76,61.96,4.74
23,mount isa,AU,1528902000,-20.73,139.49,75,100,64.4,3.29
24,pevek,RU,1528905321,69.7,170.27,0,71,36.94,6.98
25,gao,ML,1528905321,16.28,-0.04,24,16,110.02,4.97
26,cabo san lucas,MX,1528901160,22.89,-109.91,75,74,84.2,10.29
27,sao filipe,CV,1528905323,14.9,-24.5,0,88,75.73,13.02
28,tiksi,RU,1528905298,71.64,128.87,44,58,57.73,10.11
29,busselton,AU,1528905323,-33.64,115.35,92,100,60.43,10.56
30,alofi,NU,1528902000,-19.06,-169.92,76,88,71.6,3.36
31,ola,RU,1528902000,59.58,151.3,75,100,42.8,7.76
32,atar,MR,1528902000,20.52,-13.05,20,19,91.4,9.17
